label	status	run_ids	returncode	started_at	finished_at	command
eastmoney__equity_history 1992	success	ab765697-095c-4afd-90b7-286a3b8eb02b	0	2026-06-02T18:07:30.880255+00:00	2026-06-02T18:07:41.635398+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__equity_history --partition 1992
eastmoney__equity_history 1993	success	92c4d08d-2706-48b3-9549-db67307b6daf	0	2026-06-02T18:07:41.635706+00:00	2026-06-02T18:07:52.567785+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__equity_history --partition 1993
eastmoney__equity_history 1994	success	63d1d921-62fc-4200-8f87-8cd86c4d7ca6	0	2026-06-02T18:07:52.568088+00:00	2026-06-02T18:08:03.667833+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__equity_history --partition 1994
eastmoney__equity_history 1995	success	6cacb3a8-8b14-48c0-9bb4-7e7b19b65d30	0	2026-06-02T18:08:03.668462+00:00	2026-06-02T18:08:14.698551+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__equity_history --partition 1995
eastmoney__equity_history 1996	success	f08b90ee-eee4-4675-9ab7-002062f84dcd	0	2026-06-02T18:08:14.699150+00:00	2026-06-02T18:08:25.560661+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__equity_history --partition 1996
eastmoney__equity_history 1997	success	aa3386cd-3baf-4048-a9b6-1f607b07338e	0	2026-06-02T18:08:25.561258+00:00	2026-06-02T18:08:36.518697+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__equity_history --partition 1997
eastmoney__equity_history 1998	success	824c5c74-6b50-4116-93bb-c864e42887c0	0	2026-06-02T18:08:36.519002+00:00	2026-06-02T18:08:47.469483+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__equity_history --partition 1998
eastmoney__equity_history 1999	success	dc145adc-f7aa-4fdb-8454-8baeb561b803	0	2026-06-02T18:08:47.470071+00:00	2026-06-02T18:08:58.650060+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__equity_history --partition 1999
eastmoney__equity_history 2000	success	95333e52-3339-4b2c-a6ef-ce37878c97dd	0	2026-06-02T18:08:58.650679+00:00	2026-06-02T18:09:09.739629+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__equity_history --partition 2000
eastmoney__equity_history 2001	success	42d9e111-e7f2-4022-803a-ead1b2d2b901	0	2026-06-02T18:09:09.740015+00:00	2026-06-02T18:09:20.894983+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__equity_history --partition 2001
eastmoney__equity_history 2002	success	4ca898cf-3187-4774-8172-4b8891f443e9	0	2026-06-02T18:09:20.895617+00:00	2026-06-02T18:09:31.949688+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__equity_history --partition 2002
eastmoney__equity_history 2003	success	c3e0cebe-1686-45ee-a216-68f9c0ef372b	0	2026-06-02T18:09:31.950014+00:00	2026-06-02T18:09:42.940412+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__equity_history --partition 2003
eastmoney__equity_history 2004	success	b635585f-ba89-4d4f-8a73-1b097cc3536c	0	2026-06-02T18:09:42.940767+00:00	2026-06-02T18:09:53.976116+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__equity_history --partition 2004
eastmoney__equity_history 2005	success	a4487259-b968-457e-b507-ccb997e45820	0	2026-06-02T18:09:53.976419+00:00	2026-06-02T18:10:05.056636+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__equity_history --partition 2005
eastmoney__equity_history 2006	success	3442d545-37f9-416a-a44e-76a106737d42	0	2026-06-02T18:10:05.057243+00:00	2026-06-02T18:10:16.167301+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__equity_history --partition 2006
eastmoney__equity_history 2007	success	f5c137d9-9a66-48f3-97f1-5f2f787ad0f7	0	2026-06-02T18:10:16.167617+00:00	2026-06-02T18:10:27.115426+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__equity_history --partition 2007
eastmoney__equity_history 2008	success	51262796-059e-4447-99b0-c0c07fada5da	0	2026-06-02T18:10:27.115732+00:00	2026-06-02T18:10:37.981033+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__equity_history --partition 2008
eastmoney__equity_history 2009	success	a7046f35-c76a-4351-a148-baf16be8359d	0	2026-06-02T18:10:37.981664+00:00	2026-06-02T18:10:49.107424+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__equity_history --partition 2009
eastmoney__equity_history 2010	success	589d5efb-b159-4dfb-a05f-6c885bbe8ed3	0	2026-06-02T18:10:49.108029+00:00	2026-06-02T18:11:00.071023+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__equity_history --partition 2010
eastmoney__equity_history 2011	success	549ff83a-0b7b-4816-9896-e8c3c184ae9d	0	2026-06-02T18:11:00.071333+00:00	2026-06-02T18:11:11.129569+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__equity_history --partition 2011
eastmoney__equity_history 2012	success	bd9b29aa-a003-49da-9e43-36c989219258	0	2026-06-02T18:11:11.130171+00:00	2026-06-02T18:11:22.014952+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__equity_history --partition 2012
eastmoney__equity_history 2013	success	5dbc9986-826d-4f76-bfb0-7bf641273214	0	2026-06-02T18:11:22.015568+00:00	2026-06-02T18:11:32.891768+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__equity_history --partition 2013
eastmoney__equity_history 2014	success	03f397f1-7ebc-4de8-8a2f-f24a90d1735f	0	2026-06-02T18:11:32.892411+00:00	2026-06-02T18:11:43.890058+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__equity_history --partition 2014
eastmoney__equity_history 2015	success	12d184b1-cb14-4863-9595-de6bb2219e56	0	2026-06-02T18:11:43.890400+00:00	2026-06-02T18:11:54.961672+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__equity_history --partition 2015
eastmoney__equity_history 2016	success	c0813232-6eb5-412c-a4fb-a9c5a9a55d20	0	2026-06-02T18:11:54.962256+00:00	2026-06-02T18:12:05.871771+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__equity_history --partition 2016
eastmoney__equity_history 2017	success	e6f6b9e7-ef1d-4bf5-ab20-4fa92db58464	0	2026-06-02T18:12:05.872417+00:00	2026-06-02T18:12:16.840459+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__equity_history --partition 2017
eastmoney__equity_history 2018	success	c3636392-6409-4e49-9cdc-7cc34b75b8bc	0	2026-06-02T18:12:16.841042+00:00	2026-06-02T18:12:28.027355+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__equity_history --partition 2018
eastmoney__equity_history 2019	success	09620287-8372-48b9-92b8-358f40783598	0	2026-06-02T18:12:28.027882+00:00	2026-06-02T18:12:38.912551+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__equity_history --partition 2019
eastmoney__equity_history 2020	success	34b78f52-0800-4840-87a3-ee55a0682b08	0	2026-06-02T18:12:38.913144+00:00	2026-06-02T18:12:50.070817+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__equity_history --partition 2020
