label	status	run_ids	returncode	started_at	finished_at	command
cleanup baostock__query_history_k_data_plus_daily 2026	success	18eefd17-6e05-41ab-82f2-4831b4f6fb80	0	2026-06-02T18:29:59.405266+00:00	2026-06-02T18:30:12.431655+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/baostock__query_history_k_data_plus_daily --partition 2026
cleanup baostock__query_stock_basic snapshot	success	90e81ce0-dd95-4e44-8a1d-6679e05b4646	0	2026-06-02T18:30:12.432520+00:00	2026-06-02T18:30:23.560887+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/baostock__query_stock_basic
cleanup eastmoney__balance 2026	success	7b8fe465-816e-49d7-8f70-024c03a8b497	0	2026-06-02T18:30:23.561545+00:00	2026-06-02T18:30:34.794450+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__balance --partition 2026
cleanup eastmoney__cashflow_sq 2026	success	f901a495-620b-40b0-92f9-30cab93e10db	0	2026-06-02T18:30:34.795073+00:00	2026-06-02T18:30:46.390563+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__cashflow_sq --partition 2026
cleanup eastmoney__cashflow_ytd 2026	success	af2e84bd-b79b-4e7a-8932-5e5f8db5e84d	0	2026-06-02T18:30:46.391161+00:00	2026-06-02T18:30:57.987067+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__cashflow_ytd --partition 2026
cleanup eastmoney__dividend_allotment 2026	success	1e762cdf-be5b-4b1d-bd62-59fe78629c59	0	2026-06-02T18:30:57.987732+00:00	2026-06-02T18:31:09.121896+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__dividend_allotment --partition 2026
