timestamp_utc	dataset	partition	run_id	status
2026-06-02T20:47:40Z	eastmoney__cashflow_sq	2001	6d3dc423-d3be-4a2a-9e7d-57d140210bc7	success
2026-06-02T20:47:51Z	eastmoney__cashflow_sq	2002	4e058cce-f5a3-4a7a-954f-aa762edd3045	success
2026-06-02T20:48:02Z	eastmoney__cashflow_sq	2003	ff4a8e99-2a2f-4870-b3c6-29151f1fa0c8	success
2026-06-02T20:48:13Z	eastmoney__cashflow_sq	2004	490c4ed5-6f8d-424c-87b6-0b317a6ce401	success
2026-06-02T20:48:25Z	eastmoney__cashflow_sq	2005	58057471-e965-45db-9710-42b6bf391fb8	success
2026-06-02T20:48:36Z	eastmoney__cashflow_sq	2006	b26bf19f-5c61-4282-936f-70228e42c9b7	success
2026-06-02T20:48:47Z	eastmoney__cashflow_sq	2007	b636b2f1-c3d1-49a7-adc9-ffedaa132699	success
2026-06-02T20:48:59Z	eastmoney__cashflow_sq	2008	f83dbf72-7421-4622-bb3a-915eef26d70e	success
2026-06-02T20:49:10Z	eastmoney__cashflow_sq	2009	d6d8dc88-bc76-44fc-9989-7b2811170199	success
2026-06-02T20:49:21Z	eastmoney__cashflow_sq	2010	45fd2b74-c746-424d-afb7-26354b3b1314	success
2026-06-02T20:49:33Z	eastmoney__cashflow_sq	2011	cc1a0314-db29-40d7-8696-65a179353ce3	success
2026-06-02T20:49:45Z	eastmoney__cashflow_sq	2012	70fbab8f-4e4e-449b-99c9-09b24d2721bf	success
2026-06-02T20:49:56Z	eastmoney__cashflow_sq	2013	09b4ee24-888b-494d-bb35-d8daf5757235	success
2026-06-02T20:50:08Z	eastmoney__cashflow_sq	2014	c4f15b99-f679-46b1-b713-35786a60bc23	success
2026-06-02T20:50:20Z	eastmoney__cashflow_sq	2015	fd203947-b16f-4dca-81b3-9b41afe5f7ae	success
2026-06-02T20:50:31Z	eastmoney__cashflow_sq	2016	38d2887d-89b5-49f2-91b7-ffe52bcb5ed8	success
2026-06-02T20:50:43Z	eastmoney__cashflow_sq	2017	02d73fc6-d915-4186-8c4e-e2a8f7f59301	success
2026-06-02T20:50:54Z	eastmoney__cashflow_sq	2018	94e4a589-bcae-41e3-9815-778fe4f993e2	success
2026-06-02T20:51:06Z	eastmoney__cashflow_sq	2019	3d199756-1cfa-42fc-860e-84641556963b	success
2026-06-02T20:51:18Z	eastmoney__cashflow_sq	2020	b27545de-7881-4bb8-9c08-41f6b009881e	success
2026-06-02T20:51:29Z	eastmoney__cashflow_sq	2021	2356d5ca-b31b-42ef-8b24-8ffa9841b2b1	success
